Page #	Entry	Type	Wikidata ID	Notes	Annotator	Visited place	BB visited place	
131	Lido	location	Q1757063		ERW	TRUE	FALSE	
131	Lotto	organization			ERW			
253	Bernhard	person	Q359047		IT			
131	Met Costa	organization			ERW			
131	S. Barnabà	location	Q2356961	Venice	ERW	TRUE	FALSE	
131	S. Giovanni e Paolo	location	Q155225	Venice	ERW	TRUE	FALSE	
131	S. Pantaleone	organization			ERW			
253	Bernhard	person	Q359047		IT			
131	S. Stefano	organization			ERW			
254	Bernhard	person	Q359047		IT			
255	Bernhard	person	Q359047		IT			
256	Bernhard	person	Q359047		IT			
131	St. Mark’s	organization			ERW			
133	Academy	organization	Q338330		IT			
256	Bernhard	person	Q359047		IT			
133	Florian	organization	Q960610		IT			
133	Florian	organization	Q960610		IT			
257	Bernhard	person	Q359047		IT			
133	Gesuati	organization	Q1093909		IT			
133	Lido	location	Q1757063		ERW	TRUE	FALSE	
133	Lotto	organization			ERW			
133	Lotto	organization			ERW			
258	Bernhard	person	Q359047		IT			
258	Bernhard	person	Q359047		IT			
133	San Spirito	organization			ERW			
133	Scalzi	organization			ERW			
258	Bernhard	person	Q359047		IT			
134	Correr	organization	Q1470912		IT			
134	Costas	organization	Q3725701		IT			
259	Bernhard	person	Q359047		IT			
134	Howells’	organization	Q526709		IT			
259	Bernhard	person	Q359047		IT			
259	Bernhard	person	Q359047		IT			
260	Bernhard	person	Q359047		IT			
134	S. Marcuola	location	Q1585514	Venice	ERW	TRUE	FALSE	
260	Bernhard	person	Q359047		IT			
260	Bernhard	person	Q359047		IT			
261	Bernhard	person	Q359047		IT			
134	the Palazzo Reale	organization			ERW			
135	 S. Giovanni Elimosinario (Pordenone, Titian)	art	Q1543347	wikiID for the church where the art located	ERW			
261	Bernhard	person	Q359047		IT			
261	Bernhard	person	Q359047		IT			
262	Bernhard	person	Q359047		IT			
135	Howells’	organization	Q526709		IT			
135	Met Costa	organization			ERW			
262	Bernhard	person	Q359047		IT			
264	Bernhard	person	Q359047		IT			
135	S. Giorgio Maggiore	location	Q126327	Venice	ERW	TRUE	TRUE	
264	Bernhard	person	Q359047		IT			
135	Santa Maria delle Zitelle.	location	Q753370		ERW	TRUE	FALSE	
265	Bernhard	person	Q359047		IT			
265	Bernhard	person	Q359047		IT			
266	Bernhard	person	Q359047		IT			
267	Bernhard	person	Q359047		IT			
267	Bernhard	person	Q359047		IT			
269	Bernhard	person	Q359047		IT			
136	Correr	organization	Q1470912		IT			
136	Ducal Palace	organization	Q189883		IT			
136	Florian	organization	Q960610		IT			
269	Bernhard	person	Q359047		IT			
136	the Revue de Deux Mondes	organization			ERW			
270	Bernhard	person	Q359047		IT			
271	Bernhard	person	Q359047		IT			
273	Bernhard	person	Q359047		IT			
273	Bernhard	person	Q359047		IT			
